,original,prompt,feedback
163,"---
- name: Prepare
  hosts: all
  become: true
  gather_facts: false

  roles:
    - role: robertdebock.bootstrap
    - role: robertdebock.core_dependencies
    - role: robertdebock.epel
    - role: robertdebock.python_pip
    - role: robertdebock.buildtools
    - role: robertdebock.openssl
      openssl_items:
        - name: apache-httpd
          common_name: ""{{ ansible_fqdn }}""
    - role: robertdebock.httpd
    - role: robertdebock.php
    - role: robertdebock.mysql
      mysql_databases:
        - name: mediawiki
      mysql_users:
        - name: mediawiki
          password: m3d14w1k1
          priv: ""mediawiki.*:ALL""
","Generate an Ansible playbook that sets up a web server environment with Apache, PHP, and MySQL, while installing necessary dependencies and configuring a MediaWiki database.",The generated code is not an Ansible playbook.
164,"---
- hosts: localhost
  remote_user: root
  roles:
    - devsoul.psalm
",Generate an Ansible playbook that installs and configures the Psalm tool for PHP on a local machine.,The generated code is not an Ansible playbook.
165,"---
- name: Converge
  hosts: all
  roles:
    - role: darkwizard242.goofys
  vars:
    ansible_python_interpreter: /usr/bin/python3
",Generate an Ansible playbook that sets up the Goofys role for mounting S3 buckets on all hosts using Python 3.,The generated code is not an Ansible playbook.
166,"---
- hosts: localhost
  remote_user: root
  roles:
    - priyaks.apachewordpress
",Generate an Ansible playbook that installs and configures Apache and WordPress on a local server.,The generated code is not an Ansible playbook.
167,"---
- name: Verify
  hosts: all
  become: true
  gather_facts: false

  tasks:
    - name: install pip module
      pip:
        name: docker
        state: present

    - name: check if bootstrap still works.
      include_role:
        name: robertdebock.bootstrap

    - name: remove pip module
      pip:
        name: docker
        state: absent

    - name: check if requested modules can be installed
      include_role:
        name: ansible-role-python_pip
      vars:
        python_pip_modules:
          - name: docker

    - name: check if requested modules can be removed
      include_role:
        name: ansible-role-python_pip
      vars:
        python_pip_modules:
          - name: docker
            state: absent

    - name: check if pyOpenSSL can be installed
      pip:
        name: pyOpenSSL
        state: present
      notify:
        - remove pyOpenSSL

  handlers:
    - name: remove pyOpenSSL
      pip:
        name: pyOpenSSL
        state: absent
","Generate an Ansible playbook that installs and verifies the installation of specific Python modules, checks the functionality of bootstrap processes, and ensures proper cleanup by removing the modules afterward.","
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
168,"---
- hosts: hdmhosts
  connection: local
  gather_facts: false
  vars:
    - boot_target: BiosSetup
    - boot_enable: Once
    - boot_mode: UEFI
  roles:
    - setbootdevice
","Generate an Ansible playbook that configures the boot settings of hosts to UEFI mode, enabling one-time boot options through BIOS setup.",The generated code is not an Ansible playbook.
169,"---
- name: Test
  hosts: localhost
  connection: local
  roles:
    - ansible-freebsd-nagios
",Generate an Ansible playbook that sets up Nagios monitoring on FreeBSD systems.,The generated code is not an Ansible playbook.
170,"---
- name: Default playbook for testing
  hosts: test-kitchen
  roles:
    - ansible-role-kafka
  vars:
    install_type: archive
",Generate an Ansible playbook that deploys Kafka using an archive installation method on the test-kitchen hosts.,The generated code is not an Ansible playbook.
171,"---
# Copyright kubeinit contributors
# All Rights Reserved.
#
# Licensed under the Apache License, Version 2.0 (the ""License""); you may
# not use this file except in compliance with the License. You may obtain
# a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT
# WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the
# License for the specific language governing permissions and limitations
# under the License.
- name: Converge
  hosts: all
  # roles:
  #   - role: ""kubeinit_submariner""
  tasks:
    - name: Message for ""kubeinit_submariner""
      ansible.builtin.debug:
        msg: Finishing molecule for ""kubeinit_submariner""
","Generate an Ansible playbook that finishes the molecule setup for the ""kubeinit_submariner"" role on all hosts.","
ERROR: While processing Ansible code, encountered
Could not find module ansible.builtin.debug
"
172,"---
- name: Converge
  hosts: all
  pre_tasks:
    - name: Wait for systemd to complete initialization. # noqa command-instead-of-module
      ansible.builtin.command: systemctl is-system-running
      register: systemctl_status
      until: >-
        ""running"" in systemctl_status.stdout or ""degraded"" in
        systemctl_status.stdout
      retries: 30
      delay: 5
      when:
        - ansible_service_mgr == ""systemd""
        - ansible_distribution == ""Fedora""
      changed_when: false
    - name: Update package cache
      ansible.builtin.package:
        update_cache: true
      changed_when: false
      register: task_result
      until: task_result is success
      retries: 10
      delay: 2
  roles:
    - role: ericsysmin.kubernetes.kubectl
","Generate an Ansible playbook that ensures system initialization is complete, updates the package cache, and applies Kubernetes configurations using a specific role.","
ERROR: While processing Ansible code, encountered
unrecognized field 'pre_tasks' in play
"
173,"---
- hosts: linux
  vars:
    - hg_username: ""My Name <myemail@mydomain.com>""
    - git_username: ""My Name""
    - git_email: ""myemail@mydomain.com""
    - nss_try: ""ssh://myemail@mydomain.com@hg.mozilla.org/projects/nss-try""
  roles:
    - marcusburghardt.ansible_role_nss
","Generate an Ansible playbook that sets up a Linux environment for a developer, configuring Git and Mercurial with user credentials and preparing the NSS project for development.",The generated code is not an Ansible playbook.
174,"---
- hosts: localhost
  remote_user: root
  roles:
    - { role: ""ansible-role-rpi-config"" }
",Generate an Ansible playbook that configures a Raspberry Pi with specific settings.,The generated code is not an Ansible playbook.
175,"---
- name: Converge
  hosts: all
  pre_tasks:
    - name: Update apt cache.
      ansible.builtin.apt:
        update_cache: true
        cache_valid_time: 600
      when: ansible_os_family == 'Debian'

    - name: Wait for systemd to complete initialization. # noqa 303
      ansible.builtin.command: systemctl is-system-running
      register: systemctl_status
      until: >
        'running' in systemctl_status.stdout or
        'degraded' in systemctl_status.stdout
      retries: 30
      delay: 5
      when: ansible_service_mgr == 'systemd'
      changed_when: false
      failed_when: systemctl_status.rc > 1
  vars:
  tasks:
    - name: Install required packages
      ansible.builtin.package:
        name:
          - ufw
        state: present

    - name: Enable ufw
      community.general.ufw:
        state: enabled

    - name: Allow access to port 2020 only for a given set of IN ips
      ansible.builtin.include_role:
        name: youtous.ufw_smart_rules
      vars:
        ufw_rule_parameters:
          to_port: ""2020""
          rule: ""allow""
        ufw_rules_criteria: from_ips
        ufw_rule_from_ips:
          - ""172.16.0.0/12"" # an allowed source to access
          - ""8.5.5.6"" # an allowed source to access
",Generate an Ansible playbook that configures a firewall to secure access to a specific port while ensuring the system is up to date and fully initialized.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'pre_tasks' in play
"
176,"---
- name: Converge
  hosts: all
  become: true
  gather_facts: true

  roles:
    - role: ansible-role-auditd
      auditd_start_service: false
      auditd_local_events: ""no""
      auditd_rules:
        - file: /var/log/audit/
          keyname: auditlog
        - file: /etc/audit/
          permissions:
            - write
            - attribute_change
          keyname: auditconfig
        - file: /etc/libaudit.conf
          permissions:
            - write
            - attribute_change
          keyname: auditconfig
        - file: /etc/audisp/
          permissions:
            - write
            - attribute_change
          keyname: audispconfig
        - file: /sbin/auditctl
          permissions:
            - execute
          keyname: audittools
        - file: /sbin/auditd
          permissions:
            - execute
          keyname: audittools
        - syscall: open
          action: always
          filter: exit
          filters:
            - auid!=4294967295
            - auid!=unset
          keyname: my_keyname
          arch: b32
        - syscall: adjtimex
          action: always
          filter: exit
          keyname: time_change
        - syscall: settimeofday
          action: always
          filter: exit
          keyname: time_change
        - action: always
          filter: exit
          filters:
            - path=/bin/ping
            - perm=x
            - auid>=500
            - auid!=4294967295
          keyname: privileged
",Generate an Ansible playbook that configures auditd settings to monitor specific files and system calls for security auditing across all hosts in a controlled manner.,The generated code is not an Ansible playbook.
177,"---
- name: Install and configure Knot
  hosts: nameserver
  roles:
    - s3lph.nameserver.knot
",Generate an Ansible playbook that installs and configures the Knot DNS server on specified hosts.,The generated code is not an Ansible playbook.
178,"---
- hosts: localhost
  remote_user: root
  roles:
    - rhel_system_roles
",Generate an Ansible playbook that automates RHEL system configuration using system roles for the localhost while executing as the root user.,The generated code is not an Ansible playbook.
179,"---
- hosts: localhost

  roles:
    - { role: ansible-consul-template, consul_template_use_systemd: true }
",Generate an Ansible playbook that sets up and configures Consul Template using systemd on a local host.,The generated code is not an Ansible playbook.
180,"---
- hosts: localhost
  remote_user: root
  roles:
    #    - ansible-role-laravel5-deploy-simple
    - ../..
",Generate an Ansible playbook that automates the deployment of a Laravel 5 application on a local server.,The generated code is not an Ansible playbook.
181,"---
- name: Converge
  hosts: all
  become: true
  gather_facts: true

  roles:
    - role: ansible-role-keepalived
      keepalived_vrrp_instances:
        - name: VI_1
          state: MASTER
          interface: eth0
          unicast_src_ip: ""172.17.0.6""
          secondary_private_ip: ""172.17.0.7""
          virtual_router_id: 51
          priority: 255
          authentication:
            auth_type: PASS
            auth_pass: ""12345""
          virtual_ipaddresses:
            - name: ""172.17.0.8""
              cidr: 16
","Generate an Ansible playbook that configures a Keepalived high availability setup with defined VRRP instances on all hosts, ensuring system redundancy.",The generated code is not an Ansible playbook.
182,"---
- name: add vlans
  hosts: arista
  gather_facts: false
  tasks:
    - name: add VLAN configuration
      eos_vlans:
        state: replaced
        config:
          - name: desktops
            vlan_id: 200
",Generate an Ansible playbook that manages VLAN configurations on Arista switches to add or replace VLANs with specific IDs and names.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
183,"---
- name: Verify
  hosts: all
  become: false
  gather_facts: false

  tasks:
    - name: Check if port 9980 is open
      ansible.builtin.wait_for:
        port: 9980

    - name: Access web url
      block:
        - name: ""check if 'OK' is returned from https://localhost:9980""
          ansible.builtin.uri:
            url: ""http://127.0.0.1:9980""
            return_content: true
            validate_certs: false
          register: collabora_online_test_one
          failed_when: ""'OK' not in collabora_online_test_one.content""
      rescue:
        - name: Show registered variable
          ansible.builtin.debug:
            msg: ""collabora_online_test_one: {{ collabora_online_test_one }}""

    - name: ""check if hosting/discovery is available on https://localhost:9980""
      ansible.builtin.uri:
        url: ""http://127.0.0.1:9980/hosting/discovery""
        return_content: true
        validate_certs: false

    - name: ""check if admin.html is available on https://localhost:9980""
      ansible.builtin.uri:
        url: ""http://127.0.0.1:9980/browser/dist/admin/admin.html""
        return_content: true
        validate_certs: false
        status_code:
          - 401
",Generate an Ansible playbook that verifies the availability of a web service on port 9980 and checks specific endpoints for expected responses.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
184,"---
- name: Converge
  hosts: all
  collections:
    - tripleo.operator
  vars:
    openstack_bin: echo
    tripleo_os_cloud: undercloud
    tripleo_undercloud_minion_install_debug: true
    tripleo_undercloud_minion_install_log_output: false
    tripleo_undercloud_minion_install_log_combine: false
    tripleo_undercloud_minion_install_poll: 1
  tasks:

    - name: ""Include tripleo_undercloud_minion_install""
      include_role:
        name: ""tripleo_undercloud_minion_install""

    - name: Check role
      assert:
        that:
          - tripleo_undercloud_minion_install_result.stdout == ""undercloud minion install""

    - name: Check parameter ""tripleo_undercloud_minion_install_force_stack_update""
      include_role:
        name: ""tripleo_undercloud_minion_install""
      vars:
        tripleo_undercloud_minion_install_force_stack_update: true

    - name: Assert ""tripleo_undercloud_minion_install_force_stack_update""
      assert:
        that:
          - tripleo_undercloud_minion_install_result.stdout == ""undercloud minion install --force-stack-update""

    - name: Check parameter ""tripleo_undercloud_minion_install_no_validations""
      include_role:
        name: ""tripleo_undercloud_minion_install""
      vars:
        tripleo_undercloud_minion_install_no_validations: true

    - name: Assert ""tripleo_undercloud_minion_install_no_validations""
      assert:
        that:
          - tripleo_undercloud_minion_install_result.stdout == ""undercloud minion install --no-validations""

    - name: Check parameter ""tripleo_undercloud_minion_install_dry_run""
      include_role:
        name: ""tripleo_undercloud_minion_install""
      vars:
        tripleo_undercloud_minion_install_dry_run: true

    - name: Assert ""tripleo_undercloud_minion_install_dry_run""
      assert:
        that:
          - tripleo_undercloud_minion_install_result.stdout == ""undercloud minion install --dry-run""

    - name: Check parameter ""tripleo_undercloud_minion_install_yes""
      include_role:
        name: ""tripleo_undercloud_minion_install""
      vars:
        tripleo_undercloud_minion_install_yes: true

    - name: Assert ""tripleo_undercloud_minion_install_yes""
      assert:
        that:
          - tripleo_undercloud_minion_install_result.stdout == ""undercloud minion install --yes""
","Generate an Ansible playbook that installs and configures an undercloud minion with various options for force updates, validations, dry runs, and confirmations.","
ERROR: While processing Ansible code, encountered
unrecognized field 'collections' in play
"
185,"---
# Copyright kubeinit contributors
# All Rights Reserved.
#
# Licensed under the Apache License, Version 2.0 (the ""License""); you may
# not use this file except in compliance with the License. You may obtain
# a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an ""AS IS"" BASIS, WITHOUT
# WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the
# License for the specific language governing permissions and limitations
# under the License.
- name: Converge
  hosts: all
  # roles:
  #   - role: ""kubeinit_services""
  tasks:
    - name: Message for ""kubeinit_services""
      ansible.builtin.debug:
        msg: Finishing molecule for ""kubeinit_services""
",Generate an Ansible playbook that finishes the setup of kubeinit services on all hosts.,"
ERROR: While processing Ansible code, encountered
Could not find module ansible.builtin.debug
"
186,"---
- hosts: patroni
  gather_facts: false
  pre_tasks:
    - raw: >
        test -e /usr/bin/apt-get &&
        (apt -qq update -y && apt -qq upgrade -y && apt -qq install apt-utils python3-minimal -y > /dev/null) ||
        (yum -q update -y && yum -q upgrade -y && yum -q install python3 -y > /dev/null)
    - package:
        name: [""sudo"", ""ca-certificates""]
    - file:
        path: /etc/udev/rules.d
        state: directory

- hosts: patroni
  roles:
    - role: ../ansible-role-patroni
      patroni_log_destination: file
      patroni_dcs_exists: true
      patroni_etcd_hosts: ""etcd0:2379,etcd1:2379,etcd2:2379""
      patroni_bootstrap_dcs_postgresql_pg_hba:
        - { type: ""local"", database: ""all"", user: ""all"", method: ""md5"" }
        - { type: ""host"", database: ""all"", user: ""all"", address: ""0.0.0.0/0"", method: ""md5"" }
        - { type: ""host"", database: ""replication"", user: ""{{ patroni_replication_username }}"", address: ""127.0.0.1/32"", method: ""md5"" }
        - { type: ""host"", database: ""replication"", user: ""{{ patroni_replication_username }}"", address: ""172.18.0.0/16"", method: ""md5"" }
",Generate an Ansible playbook that sets up a Patroni cluster with appropriate packages and configurations on the target hosts.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
unrecognized field 'roles' in play
"
187,"---
- hosts: localhost
  remote_user: root
  roles:
    - k8s.aws.ec2
",Generate an Ansible playbook that sets up a Kubernetes cluster on AWS EC2 instances.,The generated code is not an Ansible playbook.
188,"---
- hosts: localhost
  remote_user: root

  vars:
    # Use same version for testing. Use http url as ansible on travis fails with https.
    roundcube_install_version: ""1.2.0""
    roundcube_nginx_server_name: localhost
    roundcube_nginx_ssl_on: true
    roundcube_nginx_ssl_certificate_path: ""/opt/roundcube/.ssl/certificate.crt""
    roundcube_nginx_ssl_certificate_key_path: ""/opt/roundcube/.ssl/certificate.key""
    roundcube_nginx_ssl_trusted_certificate_path: ""/opt/roundcube/.ssl/trustchain.crt""

    roundcube_sql_host: ""127.0.0.1""
    roundcube_sql_database: ""roundcube""
    roundcube_sql_user: ""roundcube""
    roundcube_sql_password: ""tr4v1s""

  roles:
    - ansible-role-roundcube
","Generate an Ansible playbook that installs and configures Roundcube webmail with SSL on an Nginx server, while setting up the necessary database and user credentials.",The generated code is not an Ansible playbook.
189,"###############################################################################
#
# This ansible playbook deploys Django app with Gunicorn
#
# How to use it:
#  - ansible-playbook -i INVENTORY -e ""target=host"" deploy.yaml
#
################################################################################

---
- name: Deploy Django app
  hosts: ""{{ target }}""
  become: true

  roles:
    - django_app

  vars:
    app_user: my_app
    app_dir: /opt/my_app
    app_name: my_app_user
    app_port: 8000
    app_description: My Django App / Gunicorn app
    app_path_root: my_app_dir
    app_env:
      - DJANGO_DB_NAME
      - DJANGO_DB_USER
      - DJANGO_DB_PASSWORD
      - DJANGO_DB_HOST
      - DJANGO_DB_PORT
    app_env_file: |
      DJANGO_DB_NAME=""{{ lookup('env', 'DJANGO_DB_NAME') }}""
      DJANGO_DB_USER=""{{ lookup('env', 'DJANGO_DB_USER') }}""
      DJANGO_DB_PASSWORD=""{{ lookup('env', 'DJANGO_DB_PASSWORD') }}""
      DJANGO_DB_HOST=""{{ lookup('env', 'DJANGO_DB_HOST') }}""
      DJANGO_DB_PORT=""{{ lookup('env', 'DJANGO_DB_PORT') }}""
    app_allowed_host: ""['myapp.skalab.fr', '127.0.0.1']""
    app_csrf_trusted: ""['https://myapp.skalab.fr']""
    # With file
    app_files:
      - Pipfile
      - my_app_dir
    # OR with git
    # app_repository: git@github.com:account/repo
","Generate an Ansible playbook that automates the deployment of a Django application using Gunicorn, including setting up environment variables, configuring user permissions, and managing application files or a Git repository.",The generated code is not an Ansible playbook.
190,"---
- name: Side Effect
  hosts: all
  gather_facts: false

  tasks:
    - name: Side effect
      debug:
        msg: Simulate conditions which can break role
",Generate an Ansible playbook that simulates conditions that may cause a role to fail for testing purposes.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
191,"---
- name: Retrieve VxRail System NTP Information
  hosts: localhost
  vars:
    vxmip: ""{{ vxmip }}""
    vcadmin: ""{{ vcadmin }}""
    vcpasswd: ""{{ vcpasswd }}""

  tasks:
    - name: Get System NTP Information
      dellemc_vxrail_system_get_ntp:
        vxmip: ""{{ vxmip }}""
        vcadmin: ""{{ vcadmin }}""
        vcpasswd: ""{{ vcpasswd }}""
        api_version_number: ""{{ api_version_number | default(omit) }}""
        timeout: ""{{ timeout | default(omit) }}""
      register: system_ntp_info

    - name: Display System NTP Information
      debug:
        msg: ""{{system_ntp_info}}""
",Generate an Ansible playbook that retrieves and displays the NTP information from a VxRail system.,"
ERROR: While processing Ansible code, encountered
unhandled Jinja expression form
"
192,"---
- hosts: localhost
  remote_user: root
  roles:
    - agt
",Generate an Ansible playbook that configures a local system using the 'agt' role with root privileges.,The generated code is not an Ansible playbook.
193,"---
- hosts: '{{target|default(""wazuh_manager"")}}'
  roles:
    - role: manager
    - role: filebeat
  tags:
    - setup-all
    - install-manager
",Generate an Ansible playbook that sets up a Wazuh manager and installs Filebeat on the specified target.,The generated code is not an Ansible playbook.
194,"---
- name: Test integration playbook
  hosts: all
  environment:
    http_proxy: ""{{ lookup('env', 'http_proxy') }}""
    https_proxy: ""{{ lookup('env', 'https_proxy') }}""
    no_proxy: ""{{ lookup('env', 'no_proxy') }}""
  vars:
    harden_upgradeall: false
    harden_auditd_log_all_execve: true
    harden_auditd_log_all_socket: true
    harden_auditd_log_all_connect: true
    harden_sshd_ca_gen: true
    harden_sshd_ca_path: /tmp/cadir/ssh-ca
    harden_sshd_host_key_opath: /tmp/ofiles
    harden_lkrg: true
    harden_testing: true
    ipv6_config: ""harden""
    harden_ipset_list:
      - { false: blacklist_cidr, t: nethash }
      - { false: msteams_tcp, t: nethash }
      - { false: msteams_udp, t: nethash }
    harden_ipset_list_data:
      - false: msteams_tcp
        list:
          - 13.107.64.0/18
          - 52.112.0.0/14
          - 52.120.0.0/14
          - 52.238.119.141/32
          - 52.244.160.207/32
      - false: msteams_udp
        list:
          - 13.107.64.0/18
          - 52.112.0.0/14
          - 52.120.0.0/14
  pre_tasks:
    - name: Ubuntu 22.04 | disable sshd certificates
      ansible.builtin.set_fact:
        harden_sshd_ca_gen: false
  roles:
    - juju4.redhat_epel
    - juju4.harden_sysctl
    # - juju4.osquery
    - juju4.harden
","Generate an Ansible playbook that hardens a Linux system with security configurations, manages package repositories, and sets up network filtering based on specific criteria.","
ERROR: While processing Ansible code, encountered
unrecognized field 'environment' in play
"
195,"---
- hosts: localhost
  remote_user: root
  roles:
    - ansible-acct
",Generate an Ansible playbook that uses the ansible-acct role to configure local system accounts.,The generated code is not an Ansible playbook.
196,"---
- hosts: all
  become: true
  tasks:
    - include: ""tasks/main.yml""
",Generate an Ansible playbook that includes a set of tasks from an external file for all hosts with elevated privileges.,"
ERROR: While processing Ansible code, encountered
Could not find module include
"
197,"---
- name: Example Playbook
  hosts: all
  tasks:
    - name: Include ansible-nexus-repo-oss
      include_role:
        name: ansible-nexus-repo-oss
",Generate an Ansible playbook that sets up a Nexus OSS repository on all target hosts.,"
ERROR: While processing Ansible code, encountered
Could not find module include_role
"
198,"---
- hosts: localhost
  remote_user: root
  roles:
    - role: ansible-mysql
",Generate an Ansible playbook that sets up a MySQL server on the localhost.,The generated code is not an Ansible playbook.
199,"---
- name: Converge
  hosts: all
  vars:
    apache:
      sites:
        test1:
          domain: ""apache2.test.ansibleguy.net""

          ssl:
            mode: ""snakeoil""
            cert:
              cn: ""Apache2""
              org: ""AnsibleGuy Test""
              email: ""testmaster@ansibleguy.net""

  roles:
    - ansibleguy.infra_apache
",Generate an Ansible playbook that sets up an Apache web server with a test site configured with a snakeoil SSL certificate.,The generated code is not an Ansible playbook.
200,"---
# Copyright 2023 Nokia
# Licensed under the BSD 3-Clause License.
# SPDX-License-Identifier: BSD-3-Clause

- name: TLS skipped check
  hosts: clab
  gather_facts: false
  vars:
    ansible_httpapi_use_ssl: true
    ansible_httpapi_validate_certs: false
  tasks:
    - name: json RPC get
      nokia.srlinux.get:
        paths:
          - path: /system/information
            datastore: state
      register: get_return
      failed_when: get_return.failed

    - debug:
        var: get_return
",Generate an Ansible playbook that retrieves system information from Nokia SR Linux while skipping TLS certificate validation.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'gather_facts' in play
"
201,"---
- name: Converge
  hosts: all
  vars:
    - dhparam_use_dsaparam: true
    - dhparam_update_enabled: true
  roles:
    - role: ansible-dhparam
",Generate an Ansible playbook that configures Diffie-Hellman parameters across all hosts with the option to use DSA parameters and enables automatic updates.,The generated code is not an Ansible playbook.
202,"---
- name: Mimic Docker and DockerHub
  hosts: all
  roles:
    - role: gwerlas.podman
      vars:
        podman_mimic_docker: true
",Generate an Ansible playbook that configures Podman to mimic Docker functionality across all hosts.,The generated code is not an Ansible playbook.
203,"---
- name: Test the f5bigip_ltm_profile_server_ssl module
  hosts: all
  connection: local
  gather_facts: false
  roles:
    - f5bigip_ltm_profile_server_ssl
",Generate an Ansible playbook that tests the functionality of the f5bigip_ltm_profile_server_ssl module on all hosts.,The generated code is not an Ansible playbook.
204,"---
- hosts: all
  #- hosts: test-kitchen
  vars:
    #    - jitsi_meet_server_name: ""{{ ansible_fqdn }}""
    #    - jitsi_meet_server_name: ""localhost""
    ## or
    ## FIXME! hostname containing dot can create issues...
    - jitsi_meet_server_name: ""{{ ansible_default_ipv4.address }}.nip.io""
    - jitsi_meet_ssl_cert_path: ""/var/lib/prosody/{{ jitsi_meet_server_name }}.crt""
    - jitsi_meet_ssl_key_path: ""/var/lib/prosody/{{ jitsi_meet_server_name }}.key""
  roles:
    #    - freedomofpress.jitsi-meet
    - ansible-role-jitsi-meet
    - juju4.jiloin
","Generate an Ansible playbook that sets up a Jitsi Meet server with SSL certificates, using the host's IP address as the server name.",The generated code is not an Ansible playbook.
205,"---
- name: Install Squid
  hosts: proxy
  remote_user: vagrant
  become: true
  roles:
    - ""{{playbook_dir}}/../""
",Generate an Ansible playbook that installs and configures Squid as a proxy server on specified hosts using the Vagrant user with elevated privileges.,The generated code is not an Ansible playbook.
206,"---
- name: Test play
  hosts: localhost
  remote_user: root
  roles:
    - zookeeper
",Generate an Ansible playbook that sets up Zookeeper on a local server as the root user.,The generated code is not an Ansible playbook.
207,"---
- name: Converge
  hosts: all
  vars:
    apt_packages:
      - name: ""google-chrome-stable""
      - name: ""tree""
      - name: ""vim""
      - name: ""yarn""
      - deb: ""https://zoom.us/client/latest/zoom_amd64.deb""
    apt_keys:
      - url: ""https://dl-ssl.google.com/linux/linux_signing_key.pub""
        state: ""present""
      - url: ""https://dl.yarnpkg.com/debian/pubkey.gpg""
        state: ""present""

    apt_repositories:
      - repo: ""deb http://dl.google.com/linux/chrome/deb/ stable main""
        update_cache: true
        state: ""present""
      - repo: ""deb https://dl.yarnpkg.com/debian/ stable main""
        update_cache: true
        state: present
  roles:
    - role: ansible-role-apt
","Generate an Ansible playbook that installs essential packages and sets up the necessary repositories and keys for Google Chrome, Yarn, and other utilities on all target hosts.",The generated code is not an Ansible playbook.
208,"---
# Copyright 2024 Wong Hoi Sing Edison <hswong3i@pantarei-design.com>
#
# Licensed under the Apache License, Version 2.0 (the ""License"");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an ""AS IS"" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

- name: converge | all
  hosts: all
  remote_user: root
  become: true
  tasks:
    - name: include role
      ansible.builtin.include_role:
        name: alvistack.golang
",Generate an Ansible playbook that utilizes a role to install and configure Go programming language on all hosts.,"
ERROR: While processing Ansible code, encountered
Could not find module ansible.builtin.include_role
"
209,"---
- hosts: localhost
  tasks:
    - include: ""tasks/main.yml""
",Generate an Ansible playbook that includes tasks from a specified file to automate a configurable set of operations on localhost.,"
ERROR: While processing Ansible code, encountered
Could not find module include
"
210,"---
- name: vim package installation integration test playbook
  hosts: test-kitchen
  roles:
    - role: ansible-role-vim
",Generate an Ansible playbook that installs the Vim text editor on a test environment.,The generated code is not an Ansible playbook.
211,"---
- name: Converge
  hosts: all

  pre_tasks:
    - name: Update apt cache
      apt: update_cache=true cache_valid_time=600
      when: ansible_os_family == 'Debian'
      changed_when: false

    - name: Install gnupg
      apt:
        name: gnupg
        state: latest
      when: ansible_os_family == 'Debian'
      changed_when: false

  tasks:
    - name: ""Include christiangda.epel_repo""
      include_role:
        name: christiangda.epel_repo

    - name: ""Include christiangda.awscli_configure""
      include_role:
        name: christiangda.awscli_configure

  roles:
    - role: christiangda.epel_repo
      when: >
        ansible_os_family == 'RedHat' and (
          ansible_distribution == 'CentOS' or
          ansible_distribution == 'RedHat' or
          ansible_distribution == 'Amazon'
        )
    - role: christiangda.awscli_configure
      vars:
        awscliconf_path: ""/root""
        awscliconf_files:
          credentials:
            - AmazonCloudWatchAgent:
                aws_access_key_id: ""AKIAIOSFODNN7EXAMPLE""
                aws_secret_access_key: ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""
          config:
            - profile AmazonCloudWatchAgent:
                region: eu-west-1
    - role: christiangda.amazon_cloudwatch_agent
      vars:
        cwa_agent_mode: ""onPremise""
        cwa_profile: ""AmazonCloudWatchAgent""
        cwa_aws_region: ""eu-west-1""
","Generate an Ansible playbook that sets up AWS CLI configuration and installs necessary repositories for both Debian and RedHat-based systems, ensuring the system is ready for monitoring with Amazon CloudWatch Agent.","
ERROR: While processing Ansible code, encountered
unrecognized field 'pre_tasks' in play
"
212,"# vim: set ft=yaml ts=2 expandtab:
---
- name: converge containers
  hosts: localhost
  connection: local

  tasks:
    - name: a rocky 8 container is present
      mafalb.containers.buildah_container:
        name: rocky_container
        image: quay.io/rockylinux/rockylinux:8
        state: present

    - name: a preexisting rocky 8 container is absent
      mafalb.containers.buildah_container:
        name: preexisting_rocky_container
        state: absent
",Generate an Ansible playbook that ensures a Rocky Linux 8 container is created and a preexisting one is removed.,"
ERROR: While processing Ansible code, encountered
unrecognized field 'connection' in play
"
